path,label,status,issues,duplicate_of
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102942 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102942 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103137 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103137 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103144 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103144 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103220 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103220 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103222 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103222 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103227 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103227 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103230 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103230 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103236 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103236 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103413 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103413 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103421 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103421 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103427 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103427 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103459 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103459 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103509 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103509 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103551 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103551 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103605 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103605 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103611 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103611 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103618 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103618 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103644 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103644 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103653 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103653 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103703 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103703 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103733 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103733 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103739 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103739 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103821 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103821 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103826 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103826 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103847 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103847 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103852 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103852 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_103904 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_103904 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104037 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104037 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104045 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104045 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104049 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104049 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104058 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104058 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104104 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104104 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104136 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104136 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104208 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104208 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104227 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104227 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104231 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104231 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104243 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104243 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104248 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104248 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104254 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104254 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104334 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104334 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104337 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104337 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104342 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104342 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104349 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104349 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104354 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104354 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104418 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104418 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104605 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104605 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104609 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104609 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104613 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104613 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104626 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104626 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104630 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104630 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104633 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104633 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104639 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104639 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104646 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104646 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104649 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104649 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104657 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104657 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104700 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104700 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104703 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104703 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104706 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104706 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104710 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104710 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104715 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104715 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104718 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104718 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104727 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104727 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104732 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104732 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104736 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104736 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104740 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104740 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104748 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104748 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104752 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104752 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104803 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104803 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104805 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104805 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104813 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104813 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_104818 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_104818 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105001 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105001 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105043 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105043 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105047 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105047 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105127 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105127 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105135 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105135 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105146 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105146 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105151 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105151 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105154 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105154 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105158 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105158 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105215 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105215 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105222 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105222 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105229 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105229 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105247 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105247 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105330 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105330 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105335 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105335 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105451 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105451 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105702 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105702 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105706 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105706 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105708 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105708 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105712 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105712 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105735 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105735 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105738 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105738 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105749 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105749 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105806 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105806 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_105810 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_105810 (2).jpg
